Name of the president,Date of the union address,Link to Address,Filename_AddressText
Ulysses S. Grant,December-4-1871,http://www.infoplease.com/t/hist/state-of-the-union/83.html,C:\Users\Sri Vishnu theja\Parse\83.txt
Ulysses S. Grant,December-2-1872,http://www.infoplease.com/t/hist/state-of-the-union/84.html,C:\Users\Sri Vishnu theja\Parse\84.txt
Ulysses S. Grant,December-1-1873,http://www.infoplease.com/t/hist/state-of-the-union/85.html,C:\Users\Sri Vishnu theja\Parse\85.txt
Ulysses S. Grant,December-7-1874,http://www.infoplease.com/t/hist/state-of-the-union/86.html,C:\Users\Sri Vishnu theja\Parse\86.txt
Ulysses S. Grant,December-7-1875,http://www.infoplease.com/t/hist/state-of-the-union/87.html,C:\Users\Sri Vishnu theja\Parse\87.txt
Ulysses S. Grant,December-5-1876,http://www.infoplease.com/t/hist/state-of-the-union/88.html,C:\Users\Sri Vishnu theja\Parse\88.txt
Rutherford B. Hayes,December-3-1877,http://www.infoplease.com/t/hist/state-of-the-union/89.html,C:\Users\Sri Vishnu theja\Parse\89.txt
Rutherford B. Hayes,December-2-1878,http://www.infoplease.com/t/hist/state-of-the-union/90.html,C:\Users\Sri Vishnu theja\Parse\90.txt
Rutherford B. Hayes,December-1-1879,http://www.infoplease.com/t/hist/state-of-the-union/91.html,C:\Users\Sri Vishnu theja\Parse\91.txt
Rutherford B. Hayes,December-6-1880,http://www.infoplease.com/t/hist/state-of-the-union/92.html,C:\Users\Sri Vishnu theja\Parse\92.txt
Chester A. Arthur,December-6-1881,http://www.infoplease.com/t/hist/state-of-the-union/93.html,C:\Users\Sri Vishnu theja\Parse\93.txt
Chester A. Arthur,December-4-1882,http://www.infoplease.com/t/hist/state-of-the-union/94.html,C:\Users\Sri Vishnu theja\Parse\94.txt
Chester A. Arthur,December-4-1883,http://www.infoplease.com/t/hist/state-of-the-union/95.html,C:\Users\Sri Vishnu theja\Parse\95.txt
Chester A. Arthur,December-1-1884,http://www.infoplease.com/t/hist/state-of-the-union/96.html,C:\Users\Sri Vishnu theja\Parse\96.txt
Grover Cleveland,December-8-1885,http://www.infoplease.com/t/hist/state-of-the-union/97.html,C:\Users\Sri Vishnu theja\Parse\97.txt
Grover Cleveland,December-6-1886,http://www.infoplease.com/t/hist/state-of-the-union/98.html,C:\Users\Sri Vishnu theja\Parse\98.txt
Grover Cleveland,December-6-1887,http://www.infoplease.com/t/hist/state-of-the-union/99.html,C:\Users\Sri Vishnu theja\Parse\99.txt
Grover Cleveland,December-3-1888,http://www.infoplease.com/t/hist/state-of-the-union/100.html,C:\Users\Sri Vishnu theja\Parse\100.txt
Benjamin Harrison,December-3-1889,http://www.infoplease.com/t/hist/state-of-the-union/101.html,C:\Users\Sri Vishnu theja\Parse\101.txt
